도서관명,도서명,저자,출판사,출판연도,데이터기준일
가양도서관,닉 아저씨처럼 용기 내 봐,"부이치치, 닉",두란노KIDZ,2021,2022-03-31
가양도서관,(흔한남매의)흔한 호기심 : 일상에서 만나는 과학 상식 . 2,흔한남매,아이세움,2020,2022-03-31
가양도서관,(흔한남매의)흔한 호기심 : 일상에서 만나는 과학 상식 . 3,흔한남매,아이세움,2021,2022-03-31
가양도서관,(흔한남매의)흔한 호기심 : 일상에서 만나는 과학 상식 . 4,흔한남매,아이세움,2021,2022-03-31
가양도서관,사라진 물건의 비밀,이분희,비룡소,2021,2022-03-31
가양도서관,"똥볶이 할멈 . 1 , 아이들을 지켜라",강효미,슈크림북,2021,2022-03-31
가양도서관,코딱지 파도 돼?,"시스테레, 마리오나 톨로사",그레이트Books,2019,2022-03-31
가양도서관,"당신의 기억을 팔겠습니까? : 인권과 자본, 민영화의 그늘을 알려 주는 동화",강다민,내일을여는책,2020,2022-03-31
가양도서관,(채인선 작가의)이야기 코딩 : 코딩 개념과 이야기의 만남,채인선,위즈덤하우스,2021,2022-03-31
가양도서관,절대 열어 보지 마! : 드라고,"하버작, 샤를로테",한솔수북,2021,2022-03-31
가양도서관,내 멋대로 산타 뽑기,최은옥,주니어김영사,2021,2022-03-31
가양도서관,"수상한 국어 탐정단 . 1 , 신비한 책과 수수께끼 왕자",이향안,제제의숲,2021,2022-03-31
가양도서관,"수학 탐정스 : 수상한 수학 추리 동화 . 4 , 수학 드림스와 대결하라!",조인하,미래엔아이세움,2021,2022-03-31
가양도서관,상자 속 도플갱어,신은영,노란돼지,2021,2022-03-31
가양도서관,노를 든 신부,오소리,이야기꽃,2019,2022-03-31
가양도서관,사이언스 2022 : 내셔널지오그래픽 키즈,내셔널지오그래픽 키즈,비룡소,2021,2022-03-31
가양도서관,"매직 엘리베이터 . 3 , 공룡",황시원,아울북,2021,2022-03-31
가양도서관,네 칸 명작 동화집,"곰므, 로익",책빛,2018,2022-03-31
가양도서관,"매직 엘리베이터 . 2 , 곤충",황시원,아울북,2021,2022-03-31
가양도서관,너는 어디로 가니,"트로티어, 맥신",산하,2012,2022-03-31
가양도서관,"매직 엘리베이터 . 1 , 인체",황시원,아울북,2021,2022-03-31
가양도서관,(Who? special)제프 베이조스,박세준,스튜디오다산,2020,2022-03-31
가양도서관,내 머리에 뿔 났어!,"스몰, 데이비드",우리학교,2021,2022-03-31
가양도서관,(Who? special)권정생 = Kwon JungSaeng,다인,스튜디오다산,2021,2022-03-31
가양도서관,나의 형 이야기,"샌닥, 모리스",시공주니어,2013,2022-03-31
가양도서관,나의 특별한 친구 문어,"마리노프, 이사벨",노란돼지,2021,2022-03-31
가양도서관,마지막 휴양지,"루이스, 존 패트릭",비룡소,2010,2022-03-31
가양도서관,(Who? K-pop)BLACKPINK,서수경,다산어린이,2021,2022-03-31
가양도서관,(Why?)재활용과학,김정욱,예림당,2020,2022-03-31
가양도서관,"마리 퀴리 : 여성, 이방인, 과학의 중심에 서다","코엔-장카, 이렌",그레이트Books,2020,2022-03-31
가양도서관,(Why?)게임과학,조영선,예림당,2020,2022-03-31
가양도서관,루브 골드버그처럼 : 골드버그 장치로 세상을 풍자한 천재 만화가 이야기,"애런슨, 사라",함께자람,2020,2022-03-31
가양도서관,론도의 노래,"로마니신, 로마나",산하,2015,2022-03-31
가양도서관,로지네 현관문에 쪽지가 있어요,"샌닥, 모리스",시공주니어,2014,2022-03-31
가양도서관,"로봇 : 인공지능 시대, 로봇과 친구가 되는 법","셰도어, 나타샤",길벗어린이,2016,2022-03-31
가양도서관,(Why?)생체모방,파피루스,예림당,2021,2022-03-31
가양도서관,(Why?)미세먼지,전윤경,예림당,2021,2022-03-31
가양도서관,꼬마 곰 피퍼룬,"슈미트, 안니 M.G.",책빛,2021,2022-03-31
가양도서관,두 아이 이야기 : 이주와 평화에 대한 이야기,"코지코으루, 튈린",도토리숲,2021,2022-03-31
가양도서관,(과학을 몰라도 잘난 척하기 딱 좋은)상식을 뒤집어 과학하기,장순근,리잼,2020,2022-03-31
가양도서관,사소한 꿀벌책 : 지구의 모든 생명은 서로 연결되어 있어요,김은정,한권의책,2021,2022-03-31
가양도서관,세균과 바이러스 : 미생물은 힘이 세!,김희정,아르볼,2020,2022-03-31
가양도서관,동물들의 세계사 : 역사를 만든 위대한 50가지 동물 이야기,"러윌, 벤",책과콩나무,2020,2022-03-31
가양도서관,동물도 행복할 권리가 있을까?,"볼다인스카-프워친스카, 올라",우리학교,2020,2022-03-31
가양도서관,"기후 위기, 지구가 아파요!","웨스트, 데이비드",지구별어린이,2021,2022-03-31
가양도서관,헌법을 꿀꺽 삼킨 사회 : 본격 헌법 먹방 여행,최정호,씨드북,2020,2022-03-31
가양도서관,쿵작쿵작 사진관이 왔어요!,양혜원,밝은미래,2020,2022-03-31
가양도서관,이런저런 옷,최미소,상상의집,2017,2022-03-31
가양도서관,"열두 달 성평등 교실 : 박스 열고 나와, 진짜 나 찾기",아웃박스,파란자전거,2021,2022-03-31
가양도서관,"여기는 쓰레기별, 긴급 구조 바람!","볼다인스카-프워친스카, 올라",우리학교,2020,2022-03-31
가양도서관,"소녀와 소년, 멋진 사람이 되는 법",윤은주,사계절,2019,2022-03-31
가양도서관,세상을 바꾼 작은 영웅들 : 용기와 열정으로 가득한 25명의 특별한 이야기,"콜드웰, 스텔라",놀이터,2020,2022-03-31
가양도서관,바다의 기도,"호세이니, 할레드",스푼북,2021,2022-03-31
가양도서관,물고기 아이,"베키니, 실비아",우리학교,2020,2022-03-31
가양도서관,문어,"데이비, 오웬",타임주니어,2021,2022-03-31
가양도서관,생명을 지키는 사람들의 하루 : 일과 도구로 이해하는 열두 가지 직업,"내시, 에릴",책속물고기,2021,2022-03-31
가양도서관,"마거릿, 아폴로호를 부탁해! : 처음으로 달 착륙을 성공시킨 여성 과학자 이야기","로빈스, 딘",청어람아이,2019,2022-03-31
